,Ch. 401 (mA),Ch. 402 (mA),Ch. 403 (mA),Ch. 404 (mA),Ch. 405 (mA),Ch. 406 (mA),Ch. 407 (mA),Ch. 408 (mA),Ch. 409 (mA),Ch. 410 (mA),Ch. 421 (deg C),Ch. 422 (deg C)
2026/05/31 18:35,87.39706846567164,109.81049326567162,112.19405827462685,110.14554839879152,110.96065388059701,108.75199968263472,46.27017394528875,97.38016529305136,110.17261255089821,109.74739870909089,45.82640031,21.22442865
2026/05/31 20:35,87.2925733552239,109.46830599999998,111.21879273432836,110.10047554682778,110.60472429253731,108.51205492215566,46.29416986626139,97.38019897280965,109.84958899401197,109.58757326060606,45.82139092,21.26455825
2026/05/31 22:35,87.19888832238804,109.61617425074627,110.91927585671641,109.81661418731116,110.58897210746268,108.36778983233532,46.2563869787234,97.39795760725075,109.87543497604787,109.49172686666667,45.82575002,21.257466
2026/06/01 02:35,87.33135933134328,109.40318210746268,110.99795794626867,109.90028334743202,110.42069388059701,108.30883805988023,46.478361288753796,97.44420144410876,109.696538748503,109.24098466060605,45.76207303,21.32009276
2026/06/01 04:35,87.36263023283581,109.80968360597014,111.08252340895518,110.27171711178246,110.88785364776118,108.97038997005988,46.56950885106382,97.33429351661633,110.19783373652692,109.8039282969697,45.69468478,21.40959992
2026/06/01 08:35,86.1185911880597,113.21557647761193,112.27532052537312,113.47086714199396,114.21121101492537,112.04822902395209,46.7049592887538,96.00899696676738,108.53430771856286,112.95753930303027,45.82668348,21.35798053
2026/06/01 12:35,89.0116582567164,109.77602207761191,114.99130167761193,109.58928053776431,110.79198385074628,107.86307470059879,46.28009969604862,98.41401775830818,109.34712553892216,108.78827064848485,45.88056163,21.34568433
2026/06/01 14:35,87.0371294208955,112.44656629253731,113.39340740298506,112.79316754682779,113.28204002985073,111.72696976047904,46.78533531914894,96.81060591540786,110.4034692994012,112.36513117575757,45.7089291,21.38851212
2026/06/01 16:35,88.86717171343282,109.320082280597,114.40939604776118,109.44614517220543,110.32086928358207,107.86507019760477,46.31476595744681,98.41888966163141,109.49205083832334,108.84732436363635,45.80395157,21.42817542
2026/06/01 18:35,87.80190906268658,110.3554934328358,113.23403661492536,110.49470529909365,111.5203504238806,109.14283282634729,46.5358530881459,97.43237099697885,110.63531549700596,110.17935658181817,45.80695114,21.46521732
2026/06/01 20:35,87.90486229850745,109.28827167164178,113.14961880597016,110.03738602416917,110.66949868059702,108.42905370059879,46.253368808510636,97.71770553474319,109.75066301197606,109.30867605454544,45.81724712,21.33497949
2026/06/01 22:35,88.69390422089553,108.52798101492537,113.72960571343282,108.78331067673714,109.76814887164178,107.34947183233531,46.14200534346504,98.5006864471299,109.08842241916167,108.42989038181817,45.66681587,21.31460453
2026/06/02 02:35,88.53470205373134,108.25463894925375,112.93851339104476,108.5931263202417,109.33997062089554,107.18989460479041,46.30601629179331,98.49212771601208,108.66071900598801,108.25896330303028,45.74100578,21.36417195
2026/06/02 04:35,88.6304470208955,108.35088678208955,113.0427183283582,108.70536030211478,109.55803140298507,107.37008908982035,46.311306285714274,98.49311922658612,108.84588109580838,108.08206603636363,45.77198633,21.34065914
2026/06/02 08:35,88.70779183283582,109.8510828716418,114.557898680597,110.0149569063444,111.0652116955224,108.53819849700598,46.478676711246194,98.03407867069485,110.00190832335329,109.48718896363636,45.71928245,21.18659471
